,Word/Token,Count,Sentiment Score,Subjectivity
132,care,14,0.0,0.0
133,When,41,0.0,0.0
134,back,106,0.0,0.0
135,East,20,0.0,0.0
136,last,44,0.0,0.06666666666666667
137,autumn,5,0.0,0.0
138,felt,24,0.0,0.0
139,wanted,27,0.0,0.0
140,uniform,4,0.0,0.0
141,sort,23,0.0,0.0
142,moral,1,0.0,0.25
143,attention,6,0.0,0.0
144,forever,10,0.0,0.0
145,riotous,2,0.0,0.0
146,excursions,1,0.0,0.0
147,privileged,1,0.0,0.0
148,glimpses,1,0.0,0.0
149,human,7,0.0,0.1
150,heart,19,0.0,0.0
151,Only,4,0.0,1.0
152,Gatsby,250,0.0,0.0
153,man,98,0.0,0.0
154,gives,4,0.0,0.0
155,name,38,0.0,0.0
156,book,14,0.0,0.0
157,exempt,1,0.0,0.0
158,reaction—Gatsby,1,0.0,0.0
159,represented,2,0.0,0.0
160,everything,22,0.0,0.0
161,unaffected,1,-0.05,0.1
162,scorn,4,0.0,0.0
163,If,18,0.0,0.0
164,personality,2,0.0,0.0
165,unbroken,2,0.0,0.0
166,series,5,0.0,0.0
167,successful,1,0.75,0.95
168,gestures,2,0.0,0.0
169,gorgeous,5,0.7,0.9
170,heightened,1,0.0,0.0
171,sensitivity,1,0.0,0.0
172,promises,1,0.0,0.0
173,life,27,0.0,0.0
174,related,1,0.0,0.4
175,one,128,0.0,0.0
176,intricate,1,0.0,0.0
177,machines,2,0.0,0.0
178,register,1,0.0,0.0
179,earthquakes,1,0.0,0.0
180,ten,7,0.0,0.0
181,thousand,6,0.0,0.0
182,miles,4,0.0,0.0
183,away,66,0.0,0.0
184,This,32,0.0,0.0
185,responsiveness,1,0.0,0.0
186,nothing,31,0.0,0.0
187,flabby,1,0.0,0.0
188,impressionability,1,0.0,0.0
189,dignified,4,0.0,0.0
190,creative,2,0.5,1.0
191,temperament,2,0.0,0.0
192,—it,1,0.0,0.0
193,extraordinary,3,0.3333333333333333,1.0
194,gift,1,0.0,0.0
195,romantic,10,0.0,0.5
196,readiness,1,0.0,0.0
197,never,60,0.0,0.0
198,found,35,0.0,0.0
199,likely,4,0.0,1.0
200,shall,2,0.0,0.0
201,find,17,0.0,0.0
202,No—Gatsby,1,0.0,0.0
203,turned,64,0.0,0.0
204,right,45,0.2857142857142857,0.5357142857142857
205,end,19,0.0,0.0
206,preyed,1,0.0,0.0
207,foul,2,0.0,0.0
208,dust,9,0.0,0.0
209,floated,6,0.0,0.0
210,wake,2,0.0,0.0
211,dreams,7,0.0,0.0
212,temporarily,1,0.0,0.0
213,closed,8,-0.1,0.1
214,interest,5,0.0,0.0
215,abortive,2,0.0,0.0
216,sorrows,1,0.0,0.0
217,short-winded,1,0.0,0.0
218,elations,1,0.0,0.0
219,My,17,0.0,0.0
220,family,13,0.0,0.0
221,prominent,1,0.5,1.0
222,well-to-do,1,0.0,0.0
223,Middle,5,0.0,0.0
224,Western,2,0.0,0.0
225,city,17,0.0,0.0
226,three,33,0.0,0.0
227,generations,1,0.0,0.0
228,Carraways,1,0.0,0.0
229,clan,3,0.0,0.0
230,tradition,1,0.0,0.0
231,descended,2,0.0,0.0
232,Dukes,1,0.0,0.0
233,Buccleuch,1,0.0,0.0
234,actual,2,0.0,0.1
235,founder,1,0.0,0.0
236,line,10,0.0,0.0
237,grandfather,1,0.0,0.0
238,brother,3,0.0,0.0
239,fifty-one,1,0.0,0.0
240,sent,16,0.0,0.0
241,substitute,1,0.0,0.0
242,Civil,1,0.0,0.0
243,War,2,0.0,0.0
244,started,24,0.0,0.0
245,wholesale,1,0.0,0.0
246,hardware,1,0.0,0.0
247,business,18,0.0,0.0
248,carries,1,0.0,0.0
249,today,6,0.0,0.0
250,saw,52,0.0,0.0
251,great-uncle,1,0.0,0.0
252,supposed,6,0.0,0.0
253,look,34,0.0,0.0
254,him—with,1,0.0,0.0
255,special,2,0.35714285714285715,0.5714285714285714
256,reference,1,0.0,0.0
257,rather,24,0.0,0.0
258,hard-boiled,1,0.0,0.0
259,painting,2,0.0,0.0
260,hangs,2,0.0,0.0
261,office,16,0.0,0.0
262,graduated,1,0.0,0.0
263,New,43,0.13636363636363635,0.45454545454545453
264,Haven,5,0.0,0.0
265,1915,1,0.0,0.0
266,quarter,4,0.0,0.0
267,century,1,0.0,0.0
268,later,24,0.0,0.0
269,participated,1,0.0,0.0
270,delayed,2,0.0,0.0
271,Teutonic,1,0.0,0.0
272,migration,1,0.0,0.0
273,known,11,0.0,0.0
274,Great,1,0.8,0.75
275,enjoyed,5,0.5,0.7
276,counter-raid,1,0.0,0.0
277,thoroughly,1,0.0,0.0
278,restless,5,0.0,0.0
279,Instead,3,0.0,0.0
280,warm,11,0.6,0.6
281,centre,3,0.0,0.0
282,West,33,0.0,0.0
283,seemed,39,0.0,0.0
284,ragged,3,0.0,0.0
285,edge,7,0.0,0.0
286,universe—so,1,0.0,0.0
287,decided,4,0.0,0.0
288,go,60,0.0,0.0
289,learn,2,0.0,0.0
290,bond,4,0.0,0.0
291,Everybody,5,0.0,0.0
292,knew,52,0.0,0.0
293,could,61,0.0,0.0
294,support,2,0.0,0.0
295,single,10,-0.07142857142857142,0.21428571428571427
296,All,22,0.0,0.0
297,aunts,1,0.0,0.0
298,uncles,1,0.0,0.0
299,talked,16,0.0,0.0
300,choosing,1,0.0,0.0
301,prep,2,0.0,0.0
302,school,2,0.0,0.0
303,finally,9,0.0,1.0
304,said,233,0.0,0.0
305,Why—ye-es,1,0.0,0.0
306,grave,5,0.0,0.0
307,hesitant,1,0.0,0.0
308,faces,12,0.0,0.0
309,Father,2,0.0,0.0
310,agreed,9,0.0,0.0
311,finance,1,0.0,0.0
312,year,18,0.0,0.0
313,various,4,0.0,0.5
314,delays,1,0.0,0.0
315,permanently,1,0.0,0.0
316,thought,47,0.0,0.0
317,spring,6,0.0,0.0
318,twenty-two,1,0.0,0.0
319,practical,3,0.0,0.0
320,thing,34,0.0,0.0
321,rooms,9,0.0,0.0
322,season,4,0.0,0.0
323,left,39,0.0,0.0
324,country,4,0.0,0.0
325,wide,7,-0.1,0.4
326,lawns,4,0.0,0.0
327,friendly,1,0.375,0.5
328,trees,12,0.0,0.0
329,take,27,0.0,0.0
330,house,90,0.0,0.0
331,together,25,0.0,0.0
332,commuting,2,0.0,0.0
333,town,16,0.0,0.0
334,sounded,5,0.0,0.0
335,idea,18,0.0,0.0
336,weather-beaten,1,0.0,0.0
337,cardboard,2,0.0,0.0
338,bungalow,1,0.0,0.0
339,eighty,2,0.0,0.0
340,month,7,0.0,0.0
341,minute,32,0.0,0.0
342,firm,2,-0.2,0.4
343,ordered,4,0.0,0.0
344,Washington,1,0.0,0.0
345,went,90,0.0,0.0
