term_id,term_str,n,num
411,ballroom,2,0
412,band,1,0
413,bandages,1,0
414,banjo,1,0
415,banjoes,1,0
416,banking,1,0
417,banners,2,0
418,banns,1,0
419,bantering,1,0
420,bar,3,0
421,barbara,3,0
422,barbary,1,0
423,barbed,1,0
424,bare,3,0
425,barely,1,0
426,barges,1,0
427,barnyard,1,0
428,barrier,2,0
429,baseball,1,0
430,basic,1,0
431,basket,4,0
432,bass,1,0
433,bastards,1,0
434,bat,1,0
435,bath,4,0
436,bathingsuit,1,0
437,bathroom,1,0
438,bathrooms,2,0
439,baths,1,0
440,bathsintruding,1,0
441,battalion,1,0
442,battles,1,0
443,bay,8,0
444,be,123,0
445,beach,9,0
446,beaded,1,0
447,beads,3,0
448,beale,1,0
449,beamed,2,0
450,bear,2,0
451,beard,2,0
452,bearing,1,0
453,beast,1,0
454,beat,9,0
455,beating,5,0
456,beautiful,7,0
457,beauty,7,0
458,beaux,1,0
459,beaver,1,0
460,became,9,0
461,because,45,0
462,becker,1,0
463,beckers,1,0
464,become,5,0
465,becomes,1,0
466,bed,16,0
467,bedroom,5,0
468,bedrooms,3,0
469,been,107,0
470,beetles,1,0
471,before,87,0
472,beforeand,2,0
473,beg,5,0
474,began,50,0
475,begged,2,0
476,begin,3,0
477,beginning,5,0
478,beginningand,1,0
479,beginnings,1,0
480,begins,2,0
481,begotten,1,0
482,begun,5,0
483,behaviour,1,0
484,behind,18,0
485,being,15,0
486,belasco,1,0
487,belcher,1,0
488,belief,1,0
489,believe,16,0
490,believed,7,0
491,believing,1,0
492,bell,1,0
493,bellows,1,0
494,bells,3,0
495,belly,1,0
496,belong,3,0
497,belonged,4,0
498,belongs,1,0
499,below,4,0
500,beluga,2,0
501,bembergs,1,0
502,bench,2,0
503,bend,2,0
504,bending,3,0
505,bendthen,1,0
506,beneath,6,0
507,benediction,2,0
508,benny,1,0
509,bent,4,0
510,beside,21,0
511,besides,2,0
512,best,7,0
513,bet,1,0
514,betrayed,1,0
515,better,18,0
516,betting,1,0
517,betty,1,0
518,between,24,0
519,bewilderment,1,0
520,bewill,1,0
521,bewitched,1,0
522,beyond,11,0
523,bid,1,0
524,big,19,0
525,bigger,1,0
526,bill,2,0
527,billow,1,0
528,biloxi,9,0
529,bird,3,0
530,birds,1,0
531,birth,1,0
532,birthday,1,0
533,biscuit,1,0
534,biscuits,1,0
535,biscuitsone,1,0
536,bit,4,0
537,bitch,1,0
538,bite,1,0
539,bitter,1,0
540,bitterly,1,0
541,bizarre,3,0
542,black,11,0
543,blackbuck,1,0
544,blackwell,1,0
545,blame,1,0
546,blanket,2,0
547,blankets,1,0
548,blankly,4,0
549,blazed,1,0
550,blazers,1,0
551,blazing,2,0
552,bleak,1,0
553,bleared,1,0
554,bleeding,1,0
555,blessed,4,0
556,blew,7,0
